,Interest,RepaymentPeriod,LoanAmount,EmployerName,InstallmentAmount,Boundery,LoanTypeName,YoB
768,1.15,72,506280.0,1,7031.666666666667,1,10,1986.0
769,1.0,12,20000.0,1,1666.6666666666667,1,2,1986.0
770,1.0,30,230000.0,1,7666.666666666667,1,18,1985.0
771,1.25,72,1058512.0,1,14701.555555555555,1,11,1985.0
772,1.15,72,601208.0,1,8350.111111111111,1,10,1985.0
773,1.0,12,50000.0,1,4166.666666666667,1,2,1983.0
774,1.0,12,12000.0,1,1000.0,1,2,1986.0
775,1.25,72,305550.0,1,4243.75,1,11,1986.0
778,1.25,72,646020.0,1,8972.5,1,11,1983.0
779,1.25,72,169144.0,1,2349.222222222222,1,11,1962.0
780,10.0,1,7000.0,1,7000.0,1,9,1962.0
781,1.0,12,80000.0,1,6666.666666666667,1,16,1962.0
782,1.25,30,247000.0,1,8233.333333333334,1,20,1962.0
783,10.0,1,16000.0,1,16000.0,1,7,1962.0
789,1.0,12,80000.0,1,6666.666666666667,1,2,1980.0
790,1.15,72,685588.0,1,9522.055555555555,1,10,1980.0
791,10.0,1,1600.0,1,1600.0,1,7,1981.0
792,1.15,84,145689.0,1,1734.392857142857,1,10,1986.0
793,1.15,34,615750.0,1,18110.29411764706,1,10,1940.0
795,1.0,12,30000.0,1,2500.0,1,2,1968.0
796,1.15,30,50000.0,1,1666.6666666666667,1,17,1975.0
798,10.0,1,15000.0,1,15000.0,1,7,1983.0
799,1.25,48,205000.0,1,4270.833333333333,1,20,1983.0
800,1.25,72,643838.0,1,8942.194444444445,1,11,1983.0
801,10.0,1,1500.0,1,1500.0,1,9,1983.0
802,1.0,12,15000.0,1,1250.0,1,16,1983.0
803,1.25,72,392850.0,1,5456.25,1,11,1987.0
804,1.0,12,90000.0,1,7500.0,1,2,1978.0
805,1.25,48,351000.0,1,7312.5,1,20,1979.0
806,10.0,1,4153.12,1,4153.12,1,9,1979.0
807,10.0,1,6000.0,1,6000.0,1,7,1979.0
808,10.0,1,1150.0,1,1150.0,1,9,1979.0
809,1.0,12,8000.0,1,666.6666666666666,1,16,1979.0
810,10.0,1,630.0,1,630.0,1,9,1979.0
811,1.25,72,395688.0,1,5495.666666666667,1,11,1986.0
812,1.0,12,15000.0,1,1250.0,1,2,1986.0
813,1.0,12,15000.0,1,1250.0,1,2,1986.0
814,1.0,20,45000.0,1,2250.0,1,6,1986.0
815,1.0,30,120000.0,1,4000.0,1,18,1983.0
816,1.25,72,418305.0,1,5809.791666666667,1,11,1987.0
817,1.0,12,50000.0,1,4166.666666666667,1,2,1986.0
818,1.25,72,155688.0,1,2162.3333333333335,1,11,1986.0
820,1.0,30,49000.0,1,1633.3333333333333,1,18,1986.0
821,1.25,48,200000.0,1,4166.666666666667,1,10,1959.0
822,1.25,48,210000.0,1,4375.0,1,20,1986.0
823,1.0,12,10000.0,1,833.3333333333334,1,16,1986.0
824,10.0,1,10000.0,1,10000.0,1,7,1986.0
825,1.15,60,120000.0,1,2000.0,1,10,1995.0
826,1.0,12,20000.0,1,1666.6666666666667,1,2,1987.0
827,10.0,1,10000.0,1,10000.0,1,7,1988.0
