LoanTypeName,EmployerName,TheLoanBal,Boundery
20,0,197080,1
16,0,12500,1
20,0,59992,1
9,0,2500,1
20,0,18900,1
2,1,30000,1
11,1,278472,1
6,1,95000,1
2,1,30000,1
2,1,55000,1
18,1,56658,1
2,1,30600,1
11,1,538046,1
10,1,661682,1
20,1,264375,1
20,1,96329,1
11,1,818433,1
11,1,566844,1
7,1,10000,1
20,1,282185,1
10,1,662173,1
2,0,50000,1
2,0,-8,1
10,1,78337,1
2,1,4163,1
18,0,154667,1
10,1,235338,1
11,1,190967,1
7,1,9000,1
10,0,1114405,1
2,1,26664,1
10,1,524250,1
2,0,45833,1
11,1,-0.54,1
7,1,1500,1
16,1,36666,1
20,1,231000,1
16,0,6250,1
11,1,483156,1
17,1,124962,1
18,0,100000,1
10,1,87672,1
9,1,2058.6,1
20,1,71000,1
2,0,58330,1
10,0,216515,1
9,1,10000,1
9,1,-13.1,1
2,1,35000,1
9,1,-16.85,1
9,1,-130.32,1
11,1,200992,1
9,1,-67.7,1
2,1,5000,1
2,1,27500,1
18,1,138230,1
20,1,150305,1
10,1,89065,1
20,1,282185,1
7,1,12000,1
11,1,429128,1
9,1,5000,1
17,1,158533,1
7,1,12000,1
9,1,4600,1
20,1,105619,1
11,1,344803,1
16,1,8750,1
2,1,6250,1
11,1,224500,1
9,0,4000,1
20,0,8766.57,1
11,1,124812,1
11,0,146896,1
16,1,27500,1
20,1,-0.68,1
6,1,48000,1
18,1,64000,1
9,0,2500,1
18,0,22800,1
17,0,20000,1
11,1,199080,1
9,1,-33.99,1
9,1,2800,1
20,1,166559,1
7,1,12000,1
16,1,7498,1
20,1,221270,1
11,1,-4982,1
11,1,332980,1
11,1,144854,1
7,1,8000,1
9,0,7800,1
10,0,354396,1
18,1,60800,1
2,1,-5000,1
20,1,313333,1
11,1,586050,1
7,1,21000,1
11,1,-16648,1
18,1,247996,1
18,0,189200,1
18,0,230570,1
18,1,65000,1
2,1,33331,1
11,1,509150,1
10,1,377940,1
20,1,227540,1
2,1,-4000,1
18,1,88800,1
9,1,4000,1
20,1,119062,1
7,1,5000,1
9,1,-10.7,1
9,1,-28.45,1
20,1,214370,1
7,1,4000,1
16,1,8332,1
9,1,-7.42,1
9,1,1300,1
11,0,729402,1
20,0,834708,1
20,1,203119,1
2,0,5000,1
2,0,12500,1
7,0,7500,1
11,1,252838,1
9,1,-50,1
7,1,11000,1
9,1,2000,1
9,1,-2.79,1
9,1,-0.13,1
20,1,227332,1
9,1,-8.93,1
11,1,281905,1
18,1,96666,1
18,1,160395,1
6,1,195000,1
16,1,30749,1
16,0,22500,1
20,0,339103,1
11,0,119140,1
10,1,93012,1
10,1,46830,1
11,1,452160,1
20,1,39988,1
10,1,91512,1
18,1,79990,1
18,1,76662,1
20,1,183332,1
16,1,11000,1
9,1,1000,1
11,1,467842,1
7,1,9000,1
10,0,893423,1
20,0,654000,1
7,0,12000,1
18,1,1600,1
9,1,2100,1
9,1,-233.91,1
20,1,202500,1
9,1,10000,1
11,1,242196,1
11,0,122931,1
6,0,62700,1
10,1,102059,1
9,1,1000,1
10,1,389655,1
11,0,137984,1
10,0,481038,1
10,0,167388,1
20,0,65600,1
7,1,10500,1
7,1,5000,1
9,1,1300,1
20,1,202996,1
9,1,-2.7,1
10,1,343000,1
7,1,7000,1
18,1,83552,1
20,1,123947.67,1
10,1,-8844,1
18,1,-2000,1
11,1,229875,1
17,0,45000,1
16,0,18665,1
9,0,10000,1
4,1,53330,1
7,0,13000,1
10,0,378670,1
9,1,-0.97,1
9,1,7500,1
20,0,94000,1
9,0,3000,1
18,1,32200,1
20,1,303541,1
11,1,141222,1
2,0,4464,1
